longitude,latitude,STOP_ID,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
-87.74750,41.95689,15189,CICERO,BERTEAU (north leg),SB,FS,"54,54A",,CHICAGO,Cicero & Berteau
-87.64178,41.67799,14545,HALSTED,119TH STREET,NB,FS,"8A,108",,CHICAGO,Halsted & 119th Street
-87.70896,42.01204,15046,KEDZIE,TOUHY,NB,FS,11,,CHICAGO,Kedzie & Touhy
-87.66891,41.95418,6280,ASHLAND,IRVING PARK,NB,NS,"9,X9",,CHICAGO,Ashland & Irving Park
-87.67517,41.83201,4484,ARCHER,DAMEN,SWB,NS,62,N62,CHICAGO,Archer & Damen
-87.70398,41.80577,3082,KEDZIE,48TH PLACE (north leg),SB,NS,"47,52",,CHICAGO,Kedzie & 48th Place
-87.70402,41.81161,3120,KEDZIE,45TH STREET,NB,NS,52,,CHICAGO,Kedzie & 45th Street
-87.64047,41.94352,1157,LAKE SHORE,ROSCOE,NB,NT,"135,146,151",,CHICAGO,Lake Shore & Roscoe
-87.69727,41.92268,3192,CALIFORNIA,MILWAUKEE,NB,NS,94,,CHICAGO,California & Milwaukee
-87.67353,41.76834,8720,DAMEN,69TH STREET,NB,NS,48,,CHICAGO,Damen & 69th Street
-87.70636,41.89213,14601,KEDZIE,OHIO,NB,FS,52,,CHICAGO,Kedzie & Ohio
-87.69371,41.79356,4157,CALIFORNIA,55TH STREET,NB,NS,94,,CHICAGO,California & 55th Street
-87.68514,41.83039,8264,WESTERN,35TH STREET,SB,NS,"49,X49",N49,CHICAGO,Western & 35th Street
-87.64437,41.88693,5505,DESPLAINES,FULTON,SB,NS,56,,CHICAGO,Desplaines & Fulton
-87.66836,41.97968,14787,CLARK,BALMORAL,SB,FS,22,N22,CHICAGO,Clark & Balmoral
-87.58529,41.72257,7211,STONY ISLAND,95TH STREET,SB,NS,"N5,28,95",N5,CHICAGO,Stony Island & 95th Street
-87.65088,41.72094,6569,VINCENNES,95TH STREET,SB,FS,112,,CHICAGO,Vincennes & 95th Street
-87.64319,41.71606,3701,HALSTED,98TH STREET,SB,NS,"8A,108",,CHICAGO,Halsted & 98th Street
-87.71132,41.89029,11167,HOMAN,FRANKLIN(n.service drive),SB,NS,82,,CHICAGO,Homan & Franklin
-87.74317,41.80223,8123,CICERO,50TH STREET,SB,NS,"47,54B",,CHICAGO,Cicero & 50th Street
-87.63504,41.85265,4454,ARCHER,CERMAK/PRINCETON,NEB,NS,62,,CHICAGO,Archer & Cermak/Princeton
-87.62551,41.78389,2427,STATE,61ST STREET (north leg),SB,NT,29,,CHICAGO,State & 61st Street
-87.66608,41.96174,1814,CLARK,MONTROSE,SB,NS,"22,78",N22,CHICAGO,Clark & Montrose
-87.60976,41.86617,17234,SOLIDARITY DR,LYNN WHITE DRIVE,EB,FS,"130,146",,CHICAGO,Solidarity Dr & Lynn White Drive
-87.74439,41.86582,17441,ROOSEVELT,CICERO,EB,FS,12,,CICERO,Roosevelt & Cicero
