latitude,longitude,STATION_ID,LONGNAME,LINES,ADDRESS,ADA,PKNRD,POINT_X,POINT_Y,LEGEND
41.8716,-87.74517,40970,Cicero-Congress,Blue,720 S. Cicero Avenue,FALSE,FALSE,"1,144,440.98","1,896,352.79",Blue Line
41.88684,-87.80317,40020,Harlem-Lake,Green,1 S. Harlem Avenue,TRUE,FALSE,"1,128,608.76","1,901,803.40",Green Line
41.88715,-87.78366,40610,Ridgeland,Green,36 N. Ridgeland Avenue,FALSE,FALSE,"1,133,921.86","1,901,950.19",Green Line
41.98429,-87.83802,40230,Cumberland,Blue,5800 N. Cumberland Avenue,TRUE,TRUE,"1,118,914.13","1,937,256.05",Blue Line
41.88322,-87.62618,41700,Washington/Wabash,"Brown,Orange,Pink,Purple,Green",29 N. Wabash,TRUE,FALSE,"1,176,812.48","1,900,828.69",Multiple Lines
41.87556,-87.63172,41340,LaSalle,Blue,150 W. Congress Parkway,FALSE,FALSE,"1,175,328.50","1,898,027.80",Blue Line
41.89118,-87.64757,40490,Grand/Milwaukee,Blue,502 N. Milwaukee Avenue,FALSE,FALSE,"1,170,964.66","1,903,685.42",Blue Line
42.06398,-87.68561,41250,Central-Evanston,Purple,1022 W. Central Avenue,FALSE,FALSE,"1,160,131.39","1,966,573.10",Multiple Lines
41.96148,-87.74361,41330,Montrose-O'Hare,Blue,4600 W. Montrose Avenue,FALSE,FALSE,"1,144,639.35","1,929,107.51",Blue Line
41.82181,-87.62146,40300,Indiana,Green,4003 S. Indiana Avenue,TRUE,FALSE,"1,178,284.91","1,878,463.56",Green Line
41.79541,-87.63116,41170,Garfield-Dan Ryan,Red,220 W. Garfield Boulevard,TRUE,FALSE,"1,175,717.82","1,868,822.89",Red Line
41.88432,-87.70615,41070,Kedzie-Lake,Green,3200 W. Lake Street,TRUE,FALSE,"1,155,033.73","1,901,060.63",Green Line
41.75041,-87.62517,40240,79th,Red,15 W. 79th Street,TRUE,FALSE,"1,177,486.46","1,852,436.47",Red Line
