STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Y,Pnk,O,longitude,latitude
30162,W,18th (54th/Cermak-bound),18th,18th (Pink Line),40830,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.66914,41.8579
30161,E,18th (Loop-bound),18th,18th (Pink Line),40830,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.66914,41.8579
30022,N,35th/Archer (Loop-bound),35th/Archer,35th/Archer (Orange Line),40120,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-87.68062,41.82935
30023,S,35th/Archer (Midway-bound),35th/Archer,35th/Archer (Orange Line),40120,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-87.68062,41.82935
30213,N,35-Bronzeville-IIT (Harlem-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62582,41.83167
30214,S,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62582,41.83167
30245,N,43rd (Harlem-bound),43rd,43rd (Green Line),41270,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.61902,41.81646
30246,S,43rd (63rd-bound),43rd,43rd (Green Line),41270,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.61902,41.81646
30210,S,47th (63rd-bound),47th,47th (Green Line),41080,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.61882,41.8092
30237,N,47th (Howard-bound),47th,47th (Red Line),41230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.63094,41.81031
30238,S,47th (95th-bound),47th,47th (Red Line),41230,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.63094,41.81031
30209,N,47th (Harlem-bound),47th,47th (Green Line),41080,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.61882,41.8092
30025,S,51st (63rd-bound),51st,51st (Green Line),40130,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.61848,41.80209
30024,N,51st (Harlem-bound),51st,51st (Green Line),40130,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.61848,41.80209
30114,W,54th/Cermak (Terminal arrival),54th/Cermak,54th/Cermak (Pink Line),40580,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.75669,41.85177
30113,E,54th/Cermak (Loop-bound),54th/Cermak,54th/Cermak (Pink Line),40580,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.75669,41.85177
30177,N,63rd (Howard-bound),63rd,63rd (Red Line),40910,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.63095,41.78053
30178,S,63rd (95th-bound),63rd,63rd (Red Line),40910,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.63095,41.78053
30191,N,69th (Howard-bound),69th,69th (Red Line),40990,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62572,41.76836
30192,S,69th (95th-bound),69th,69th (Red Line),40990,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62572,41.76836
30047,S,79th (95th-bound),79th,79th (Red Line),40240,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62511,41.75041
30046,N,79th (Howard-bound),79th,79th (Red Line),40240,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62511,41.75041
30275,N,87th (Howard-bound),87th,87th (Red Line),41430,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62471,41.73537
30276,S,87th (95th-bound),87th,87th (Red Line),41430,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62471,41.73537
30088,N,95th/Dan Ryan (Howard-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62434,41.72237
30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62434,41.72237
30131,N,Adams/Wabash (Outer Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",40680,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.62603,41.8795
30132,S,Adams/Wabash (Inner Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",40680,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,-87.62603,41.8795
30274,S,Addison (95th-bound),Addison,Addison (Red Line),41420,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65362,41.94742
30278,S,Addison (Loop-bound),Addison,Addison (Brown Line),41440,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.67464,41.94702
30239,N,Addison (O'Hare-bound),Addison,Addison (Blue Line),41240,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.71906,41.94738
30277,N,Addison (Kimball-bound),Addison,Addison (Brown Line),41440,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.67464,41.94702
30240,S,Addison (Forest Pk-bound),Addison,Addison (Blue Line),41240,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.71906,41.94738
